log_file,experiment,setting,algorithm,is_rerun,mode,task,optimizer,p,hidden_width,alpha,seed,num_clients,local_epochs,fraction_train,partition,dirichlet_alpha,proximal_mu,server_lr,tau,weight_decay,t_grok,t_50,final_acc,grokked,censored,history_path
exp2_a0.25_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.002577319587628866,123,,,,,,,,,,inf,inf,0.6,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.002577319587628866_s123.json
exp2_a0.25_K97.log,exp2,,,False,centralized,addition,gd,97,256,0.002577319587628866,456,,,,,,,,,,inf,inf,0.6,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.002577319587628866_s456.json
exp2_a0.25_K97.log,exp2,,,False,federated,addition,gd,97,256,0.25,42,97,5,1.0,iid,,,,,,inf,inf,15.9,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K97_le5_ft1.0_iid_s42.json
exp2_a0.25_K97.log,exp2,,,False,federated,addition,gd,97,256,0.25,123,97,5,1.0,iid,,,,,,inf,inf,4.7,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K97_le5_ft1.0_iid_s123.json
exp2_a0.25_K97.log,exp2,,,False,federated,addition,gd,97,256,0.25,456,97,5,1.0,iid,,,,,,inf,inf,5.2,False,True,results/exp2_aggregation/fl_iid/history_fed_addition_gd_p97_N256_a0.25_K97_le5_ft1.0_iid_s456.json
exp2_a0.2_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.2,42,,,,,,,,,,inf,inf,1.9,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s42.json
exp2_a0.2_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.2,123,,,,,,,,,,inf,inf,6.5,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s123.json
exp2_a0.2_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.2,456,,,,,,,,,,inf,inf,2.3,False,True,results/exp2_aggregation/cent_full/history_addition_gd_p97_N256_a0.2_s456.json
exp2_a0.2_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.004,42,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.004_s42.json
exp2_a0.2_K50.log,exp2,,,False,centralized,addition,gd,97,256,0.004,123,,,,,,,,,,inf,inf,0.5,False,True,results/exp2_aggregation/cent_reduced/history_addition_gd_p97_N256_a0.004_s123.json
